"source","kind","visible_text","target","status_code","method","final_url","content_type","title","verdict","notes","bibliography_entry"
"19","doi_label","DOI: 10.1016/j.est.2024.112380","https://doi.org/10.1016/j.est.2024.112380","200","HEAD","https://linkinghub.elsevier.com/retrieve/pii/S2352152X24019662","text/html; charset=UTF-8","","ok","","Grimaldi et al. Profitability of energy arbitrage net profit for grid-scale battery energy storage considering dynamic efficiency and degradation using a linear, mixed-integer linear, and mixed-integer non-linear optimization approach. DOI: 10.1016/j.est.2024.112380. https://doi.org/10.1016/j.est.2024.112380"
"19","url","https://doi.org/10.1016/j.est.2024.112380","https://doi.org/10.1016/j.est.2024.112380","200","HEAD","https://linkinghub.elsevier.com/retrieve/pii/S2352152X24019662","text/html; charset=UTF-8","","ok","","Grimaldi et al. Profitability of energy arbitrage net profit for grid-scale battery energy storage considering dynamic efficiency and degradation using a linear, mixed-integer linear, and mixed-integer non-linear optimization approach. DOI: 10.1016/j.est.2024.112380. https://doi.org/10.1016/j.est.2024.112380"
"20","doi_label","DOI: 10.48550/arXiv.2106.01345","https://doi.org/10.48550/arXiv.2106.01345","200","HEAD","https://arxiv.org/abs/2106.01345","text/html; charset=utf-8","","ok","","Chen et al. Decision Transformer: Reinforcement Learning via Sequence Modeling. DOI: 10.48550/arXiv.2106.01345. https://arxiv.org/abs/2106.01345"
"20","url","https://arxiv.org/abs/2106.01345","https://arxiv.org/abs/2106.01345","200","HEAD","https://arxiv.org/abs/2106.01345","text/html; charset=utf-8","","ok","","Chen et al. Decision Transformer: Reinforcement Learning via Sequence Modeling. DOI: 10.48550/arXiv.2106.01345. https://arxiv.org/abs/2106.01345"
"21","url","https://arxiv.org/abs/2305.14550","https://arxiv.org/abs/2305.14550","200","HEAD","https://arxiv.org/abs/2305.14550","text/html; charset=utf-8","","ok","","Bhargava et al. When should we prefer Decision Transformers for Offline Reinforcement Learning? arXiv:2305.14550. https://arxiv.org/abs/2305.14550"
"22","doi_label","DOI: 10.1016/j.apenergy.2019.114360","https://doi.org/10.1016/j.apenergy.2019.114360","200","HEAD","https://linkinghub.elsevier.com/retrieve/pii/S0306261919320471","text/html; charset=UTF-8","","ok","","Maheshwari et al. Optimizing the operation of energy storage using a non-linear lithium-ion battery degradation model. DOI: 10.1016/j.apenergy.2019.114360. https://doi.org/10.1016/j.apenergy.2019.114360"
"22","url","https://doi.org/10.1016/j.apenergy.2019.114360","https://doi.org/10.1016/j.apenergy.2019.114360","200","HEAD","https://linkinghub.elsevier.com/retrieve/pii/S0306261919320471","text/html; charset=UTF-8","","ok","","Maheshwari et al. Optimizing the operation of energy storage using a non-linear lithium-ion battery degradation model. DOI: 10.1016/j.apenergy.2019.114360. https://doi.org/10.1016/j.apenergy.2019.114360"
"23","doi_label","DOI: 10.1109/ACCESS.2020.3035504","https://doi.org/10.1109/ACCESS.2020.3035504","200","HEAD","https://ieeexplore.ieee.org/document/9250459/","text/html; charset=UTF-8","","ok","","Kumtepeli et al. Energy Arbitrage Optimization With Battery Storage: 3D-MILP for Electro-Thermal Performance and Semi-Empirical Aging Models. DOI: 10.1109/ACCESS.2020.3035504. https://doi.org/10.1109/ACCESS.2020.3035504"
"23","url","https://doi.org/10.1109/ACCESS.2020.3035504","https://doi.org/10.1109/ACCESS.2020.3035504","200","HEAD","https://ieeexplore.ieee.org/document/9250459/","text/html; charset=UTF-8","","ok","","Kumtepeli et al. Energy Arbitrage Optimization With Battery Storage: 3D-MILP for Electro-Thermal Performance and Semi-Empirical Aging Models. DOI: 10.1109/ACCESS.2020.3035504. https://doi.org/10.1109/ACCESS.2020.3035504"
"24","doi_label","DOI: 10.1109/TSG.2020.2986333","https://doi.org/10.1109/TSG.2020.2986333","200","HEAD","https://ieeexplore.ieee.org/document/9061038/","text/html; charset=UTF-8","","ok","","Cao et al. Deep Reinforcement Learning-Based Energy Storage Arbitrage With Accurate Lithium-Ion Battery Degradation Model. DOI: 10.1109/TSG.2020.2986333. https://doi.org/10.1109/TSG.2020.2986333"
"24","url","https://doi.org/10.1109/TSG.2020.2986333","https://doi.org/10.1109/TSG.2020.2986333","200","HEAD","https://ieeexplore.ieee.org/document/9061038/","text/html; charset=UTF-8","","ok","","Cao et al. Deep Reinforcement Learning-Based Energy Storage Arbitrage With Accurate Lithium-Ion Battery Degradation Model. DOI: 10.1109/TSG.2020.2986333. https://doi.org/10.1109/TSG.2020.2986333"
"25","doi_label","DOI: 10.1016/j.rser.2022.112584","https://doi.org/10.1016/j.rser.2022.112584","200","HEAD","https://linkinghub.elsevier.com/retrieve/pii/S1364032122004804","text/html; charset=UTF-8","","ok","","Vykhodtsev et al. A review of modelling approaches to characterize lithium-ion battery energy storage systems in techno-economic analyses of power systems. DOI: 10.1016/j.rser.2022.112584. https://doi.org/10.1016/j.rser.2022.112584"
"25","url","https://doi.org/10.1016/j.rser.2022.112584","https://doi.org/10.1016/j.rser.2022.112584","200","HEAD","https://linkinghub.elsevier.com/retrieve/pii/S1364032122004804","text/html; charset=UTF-8","","ok","","Vykhodtsev et al. A review of modelling approaches to characterize lithium-ion battery energy storage systems in techno-economic analyses of power systems. DOI: 10.1016/j.rser.2022.112584. https://doi.org/10.1016/j.rser.2022.112584"
"26","url","https://www.nrel.gov/docs/fy21osti/78694.pdf","https://www.nrel.gov/docs/fy21osti/78694.pdf",,"GET","","","","needs-human","Exception calling ""GetResult"" with ""0"" argument(s): ""The requested name is valid, but no data of the requested type was found. (www.nrel.gov:443)""","Augustine and Blair. Storage Futures Study: Storage Technology Modeling Input Data Report. NREL/TP-5700-78694. https://www.nrel.gov/docs/fy21osti/78694.pdf"
"27","url","https://atb.nrel.gov/electricity/2023/residential_battery_storage/utility-scale_pv-plus-battery","https://atb.nrel.gov/electricity/2023/residential_battery_storage/utility-scale_pv-plus-battery",,"GET","","","","needs-human","Exception calling ""GetResult"" with ""0"" argument(s): ""The requested name is valid, but no data of the requested type was found. (atb.nrel.gov:443)""","NREL. 2023 Annual Technology Baseline: Utility-Scale PV-Plus-Battery. https://atb.nrel.gov/electricity/2023/residential_battery_storage/utility-scale_pv-plus-battery"
"28","doi_label","DOI: 10.1002/for.3084","https://doi.org/10.1002/for.3084","403","GET","https://onlinelibrary.wiley.com/doi/10.1002/for.3084","text/html; charset=UTF-8","Just a moment...","needs-human","HEAD returned 403; tried GET fallback","Jiang et al. Probabilistic electricity price forecasting based on penalized temporal fusion transformer. DOI: 10.1002/for.3084. https://doi.org/10.1002/for.3084"
"28","url","https://doi.org/10.1002/for.3084","https://doi.org/10.1002/for.3084","403","GET","https://onlinelibrary.wiley.com/doi/10.1002/for.3084","text/html; charset=UTF-8","Just a moment...","needs-human","HEAD returned 403; tried GET fallback","Jiang et al. Probabilistic electricity price forecasting based on penalized temporal fusion transformer. DOI: 10.1002/for.3084. https://doi.org/10.1002/for.3084"
"29","doi_label","DOI: 10.48550/arXiv.2402.19072","https://doi.org/10.48550/arXiv.2402.19072","200","HEAD","https://arxiv.org/abs/2402.19072","text/html; charset=utf-8","","ok","","Wang et al. TimeXer: Empowering Transformers for Time Series Forecasting with Exogenous Variables. DOI: 10.48550/arXiv.2402.19072. https://arxiv.org/abs/2402.19072"
"29","url","https://arxiv.org/abs/2402.19072","https://arxiv.org/abs/2402.19072","200","HEAD","https://arxiv.org/abs/2402.19072","text/html; charset=utf-8","","ok","","Wang et al. TimeXer: Empowering Transformers for Time Series Forecasting with Exogenous Variables. DOI: 10.48550/arXiv.2402.19072. https://arxiv.org/abs/2402.19072"
"30","doi_label","DOI: 10.48550/arXiv.2602.10071","https://doi.org/10.48550/arXiv.2602.10071","200","HEAD","https://arxiv.org/abs/2602.10071","text/html; charset=utf-8","","ok","","Yu et al. Deep Learning for Electricity Price Forecasting: A Review of Day-Ahead, Intraday, and Balancing Electricity Markets. DOI: 10.48550/arXiv.2602.10071. https://arxiv.org/abs/2602.10071"
"30","url","https://arxiv.org/abs/2602.10071","https://arxiv.org/abs/2602.10071","200","HEAD","https://arxiv.org/abs/2602.10071","text/html; charset=utf-8","","ok","","Yu et al. Deep Learning for Electricity Price Forecasting: A Review of Day-Ahead, Intraday, and Balancing Electricity Markets. DOI: 10.48550/arXiv.2602.10071. https://arxiv.org/abs/2602.10071"
"31","doi_label","DOI: 10.1002/for.70065","https://doi.org/10.1002/for.70065","403","GET","https://onlinelibrary.wiley.com/doi/10.1002/for.70065","text/html; charset=UTF-8","Just a moment...","needs-human","HEAD returned 403; tried GET fallback","Jin and Blanco-Encomienda. Seasonal Decomposition-Enhanced Deep Learning Architecture for Probabilistic Forecasting. DOI: 10.1002/for.70065. https://doi.org/10.1002/for.70065"
"31","url","https://doi.org/10.1002/for.70065","https://doi.org/10.1002/for.70065","403","GET","https://onlinelibrary.wiley.com/doi/10.1002/for.70065","text/html; charset=UTF-8","Just a moment...","needs-human","HEAD returned 403; tried GET fallback","Jin and Blanco-Encomienda. Seasonal Decomposition-Enhanced Deep Learning Architecture for Probabilistic Forecasting. DOI: 10.1002/for.70065. https://doi.org/10.1002/for.70065"
"32","url","https://arxiv.org/abs/2508.04875","https://arxiv.org/abs/2508.04875","200","HEAD","https://arxiv.org/abs/2508.04875","text/html; charset=utf-8","","ok","","Yu et al. PriceFM: Foundation Model for Probabilistic Electricity Price Forecasting. arXiv:2508.04875. https://arxiv.org/abs/2508.04875"
"33","url","https://arxiv.org/abs/2508.11372","https://arxiv.org/abs/2508.11372","200","HEAD","https://arxiv.org/abs/2508.11372","text/html; charset=utf-8","","ok","","Lipiecki et al. Stealing Accuracy: Predicting Day-ahead Electricity Prices with Temporal Hierarchy Forecasting (THieF). arXiv:2508.11372. https://arxiv.org/abs/2508.11372"
"34","url","https://arxiv.org/abs/2510.13654","https://arxiv.org/abs/2510.13654","200","HEAD","https://arxiv.org/abs/2510.13654","text/html; charset=utf-8","","ok","","Meyer et al. Rethinking Evaluation in the Era of Time Series Foundation Models: (Un)known Information Leakage Challenges. arXiv:2510.13654. https://arxiv.org/abs/2510.13654"
"35","url","https://arxiv.org/abs/2509.13906","https://arxiv.org/abs/2509.13906","200","HEAD","https://arxiv.org/abs/2509.13906","text/html; charset=utf-8","","ok","","Dange and Sarawagi. TFMAdapter: Lightweight Instance-Level Adaptation of Foundation Models for Forecasting with Covariates. arXiv:2509.13906. https://arxiv.org/abs/2509.13906"
"36","url","https://arxiv.org/abs/2602.17634","https://arxiv.org/abs/2602.17634","200","HEAD","https://arxiv.org/abs/2602.17634","text/html; charset=utf-8","","ok","","Fu et al. Reverso: Efficient Time Series Foundation Models for Zero-shot Forecasting. arXiv:2602.17634. https://arxiv.org/abs/2602.17634"
"37","url","https://arxiv.org/abs/2405.14719","https://arxiv.org/abs/2405.14719","200","HEAD","https://arxiv.org/abs/2405.14719","text/html; charset=utf-8","","ok","","Persak and Anjos. Decision-Focused Forecasting: A Differentiable Multistage Optimisation Architecture. arXiv:2405.14719. https://arxiv.org/abs/2405.14719"
"38","url","https://arxiv.org/abs/2406.17085","https://arxiv.org/abs/2406.17085","200","HEAD","https://arxiv.org/abs/2406.17085","text/html; charset=utf-8","","ok","","Yi, Alghumayjan, and Xu. Perturbed Decision-Focused Learning for Modeling Strategic Energy Storage. arXiv:2406.17085. https://arxiv.org/abs/2406.17085"
"39","url","https://arxiv.org/abs/2401.00015","https://arxiv.org/abs/2401.00015","200","HEAD","https://arxiv.org/abs/2401.00015","text/html; charset=utf-8","","ok","","Madahi et al. Distributional Reinforcement Learning-based Energy Arbitrage Strategies in Imbalance Settlement Mechanism. arXiv:2401.00015. https://arxiv.org/abs/2401.00015"
"40","doi_label","DOI: 10.48550/arXiv.1910.12430","https://doi.org/10.48550/arXiv.1910.12430","200","HEAD","https://arxiv.org/abs/1910.12430","text/html; charset=utf-8","","ok","","Agrawal et al. Differentiable Convex Optimization Layers. DOI: 10.48550/arXiv.1910.12430. https://arxiv.org/abs/1910.12430"
"40","url","https://arxiv.org/abs/1910.12430","https://arxiv.org/abs/1910.12430","200","HEAD","https://arxiv.org/abs/1910.12430","text/html; charset=utf-8","","ok","","Agrawal et al. Differentiable Convex Optimization Layers. DOI: 10.48550/arXiv.1910.12430. https://arxiv.org/abs/1910.12430"
"41","url","https://proceedings.mlr.press/v70/amos17a.html","https://proceedings.mlr.press/v70/amos17a.html","200","HEAD","https://proceedings.mlr.press/v70/amos17a.html","text/html; charset=utf-8","","ok","","Amos and Kolter. OptNet: Differentiable Optimization as a Layer in Neural Networks. Proceedings of Machine Learning Research 70:136-145. https://proceedings.mlr.press/v70/amos17a.html"
"42","doi_label","DOI: 10.48550/arXiv.2505.01551","https://doi.org/10.48550/arXiv.2505.01551","200","HEAD","https://arxiv.org/abs/2505.01551","text/html; charset=utf-8","","ok","","Yi et al. A Decision-Focused Predict-then-Bid Framework for Strategic Energy Storage. DOI: 10.48550/arXiv.2505.01551. https://arxiv.org/abs/2505.01551"
"42","url","https://arxiv.org/abs/2505.01551","https://arxiv.org/abs/2505.01551","200","HEAD","https://arxiv.org/abs/2505.01551","text/html; charset=utf-8","","ok","","Yi et al. A Decision-Focused Predict-then-Bid Framework for Strategic Energy Storage. DOI: 10.48550/arXiv.2505.01551. https://arxiv.org/abs/2505.01551"
"43","url","https://huggingface.co/docs/transformers/model_doc/decision_transformer","https://huggingface.co/docs/transformers/model_doc/decision_transformer","200","HEAD","https://huggingface.co/docs/transformers/model_doc/decision_transformer","text/html; charset=utf-8","","ok","","Hugging Face. Decision Transformer model documentation. https://huggingface.co/docs/transformers/model_doc/decision_transformer"
"44","url","https://www.entsoe.eu/data/transparency-platform/","https://www.entsoe.eu/data/transparency-platform/","200","HEAD","https://www.entsoe.eu/data/transparency-platform/","text/html; charset=UTF-8","","ok","","ENTSO-E Transparency Platform. Electricity Market Transparency. https://www.entsoe.eu/data/transparency-platform/"
"45","url","https://open-power-system-data.org/","https://open-power-system-data.org/","200","HEAD","https://open-power-system-data.org/","text/html; charset=UTF-8","","ok","","Open Power System Data. Open European power-system data platform. https://open-power-system-data.org/"
"46","url","https://data.open-power-system-data.org/time_series/","https://data.open-power-system-data.org/time_series/","200","HEAD","https://data.open-power-system-data.org/time_series/","text/html; charset=utf-8","","ok","","Open Power System Data. Time series data package. https://data.open-power-system-data.org/time_series/"
"47","url","https://www.nordpoolgroup.com/en/services/power-market-data-services/dataportalregistration/","https://www.nordpoolgroup.com/en/services/power-market-data-services/dataportalregistration/","200","HEAD","https://www.nordpoolgroup.com/en/services/power-market-data-services/dataportalregistration/","text/html; charset=utf-8","","ok","","Nord Pool. Data Portal and market-data services. https://www.nordpoolgroup.com/en/services/power-market-data-services/dataportalregistration/"
"48","url","https://ember-energy.org/data/api","https://ember-energy.org/data/api","200","HEAD","https://ember-energy.org/data/api/","text/html; charset=UTF-8","","ok","","Ember. API for open electricity data. https://ember-energy.org/data/api"
"49","url","https://arxiv.org/abs/2101.05249","https://arxiv.org/abs/2101.05249","200","HEAD","https://arxiv.org/abs/2101.05249","text/html; charset=utf-8","","ok","","Li and Becker. Day-ahead electricity price prediction applying hybrid models of LSTM-based deep learning methods and feature selection algorithms under consideration of market coupling. arXiv:2101.05249. https://arxiv.org/abs/2101.05249"
"50","doi_label","DOI: 10.1109/PowerTech55446.2023.10202771","https://doi.org/10.1109/PowerTech55446.2023.10202771","200","HEAD","https://ieeexplore.ieee.org/document/10202771/","text/html; charset=UTF-8","","ok","","Redhu and Bremdal. Day-Ahead Zonal Electricity Price Forecasting using 1D-LSTM with Neighbouring Zones Data. DOI: 10.1109/PowerTech55446.2023.10202771. https://doi.org/10.1109/PowerTech55446.2023.10202771"
